grid_id,mlp_pred5_2000,mlp_pred5_2005,mlp_pred5_2010,mlp_pred5_2015,mlp_pred5_2020,class_2000,class_2005,class_2010,class_2015,class_2020,LST_2000,LST_2005,LST_2010,LST_2015,LST_2020
3730,farmland,farmland,farmland,living,living,farmland,farmland,farmland,living,living,31.08000000000004,30.370000000000005,30.32000000000005,31.55000000000001,31.0
3731,green_space,living,green_space,living,living,green_space,living,green_space,living,living,34.84466666666668,35.00399999999996,36.28733333333338,36.434000000000026,36.57400000000001
3732,farmland,green_space,green_space,green_space,living,farmland,green_space,green_space,green_space,living,30.734000000000094,30.874000000000024,31.372000000000014,30.75799999999998,30.081999999999994
3733,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,30.797931034482758,30.430689655172444,31.00655172413792,30.603103448275874,31.40448275862076
3734,farmland,living,living,production,production,farmland,living,living,production,production,33.610000000000014,35.110000000000014,37.03000000000003,36.710000000000036,38.76999999999998
3735,green_space,living,living,living,living,green_space,living,living,living,living,33.370000000000005,35.47000000000003,35.56000000000006,35.75000000000006,35.200000000000045
3736,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,32.7766666666667,34.900000000000034,34.83000000000004,34.920000000000016,36.943333333333385
3737,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,,,,,
3738,water,water,water,living,living,water,water,water,living,living,,,,,
3739,living,living,living,living,living,living,living,living,living,living,32.06000000000006,34.700000000000045,33.73000000000002,35.39000000000004,35.33000000000004
3740,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,30.650000000000034,30.53000000000003,31.190000000000055,30.750000000000057,29.650000000000034
3741,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,28.33000000000004,28.05000000000001,28.470000000000027,28.57000000000005,28.83000000000004
3742,green_space,green_space,green_space,production,green_space,green_space,green_space,green_space,production,green_space,32.210000000000036,31.49000000000001,33.99000000000001,34.180000000000064,34.53000000000003
3743,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,28.940000000000055,28.55000000000001,29.310000000000002,30.150000000000034,29.31000000000006
3744,farmland,farmland,farmland,production,living,farmland,farmland,farmland,production,living,33.261481481481496,34.06703703703704,36.19074074074081,35.5107407407408,37.795925925925985
3745,farmland,living,living,production,living,farmland,living,living,production,living,30.58800000000008,33.58066666666673,35.48866666666669,36.2833333333333,35.36466666666672
3746,green_space,production,production,green_space,living,green_space,production,production,green_space,living,30.050000000000068,31.920000000000073,32.31,33.09000000000003,33.0
3747,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,27.930000000000007,28.810000000000002,28.600000000000023,28.880000000000052,29.33000000000004
3748,farmland,farmland,living,living,production,farmland,farmland,living,living,production,32.860000000000014,34.09000000000003,37.09000000000003,36.99000000000001,36.870000000000005
3749,water,living,living,production,production,water,living,living,production,production,36.00999999999999,35.27000000000004,38.129999999999995,38.180000000000064,38.870000000000005
3750,farmland,green_space,green_space,living,production,farmland,green_space,green_space,living,production,33.410000000000025,35.35000000000002,39.910000000000025,36.89000000000004,35.85000000000002
3751,farmland,farmland,living,living,living,farmland,farmland,living,living,living,33.923043478260865,34.24478260869569,34.992608695652166,36.49260869565222,35.023913043478274
3752,living,living,production,living,living,living,living,production,living,living,32.710000000000036,32.85000000000002,33.43000000000001,35.110000000000014,31.660000000000082
3753,green_space,living,production,living,production,green_space,living,production,living,production,33.97586206896557,34.9113793103449,35.38379310344834,37.23862068965519,37.28379310344832
3754,green_space,farmland,production,living,living,green_space,farmland,production,living,living,32.59633333333335,33.44166666666672,37.42166666666668,36.70600000000002,37.681333333333384
3755,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,29.750000000000057,29.889999999999986,29.420000000000016,29.730000000000018,30.300000000000068
3756,farmland,farmland,farmland,farmland,living,farmland,farmland,farmland,farmland,living,33.60379310344831,32.41413793103453,34.785862068965514,35.40551724137936,36.37689655172426
3757,living,living,living,living,living,living,living,living,living,living,35.04000000000008,34.754999999999995,35.77000000000004,35.60000000000002,34.420000000000016
3758,green_space,green_space,green_space,living,living,green_space,green_space,green_space,living,living,32.40931034482759,32.437931034482745,33.1086206896552,32.74793103448275,32.39275862068973
3759,green_space,production,production,production,production,green_space,production,production,production,production,31.435806451612905,33.100967741935506,35.18806451612903,34.24129032258065,34.92741935483872
3760,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,28.356896551724162,28.68206896551726,27.88724137931041,28.50241379310347,27.659655172413807
3761,farmland,green_space,green_space,green_space,green_space,farmland,green_space,green_space,green_space,green_space,31.170000000000016,31.970000000000027,32.650000000000034,31.83000000000004,32.76000000000005
3762,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,32.34448275862076,33.139655172413825,33.824482758620775,33.72931034482764,33.858620689655254
3763,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,29.82066666666674,29.738000000000056,30.222000000000037,29.315333333333342,29.527333333333388
3764,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,30.710000000000036,30.75999999999999,30.950000000000045,32.73000000000002,32.190000000000055
3765,water,water,water,water,living,water,water,water,water,living,33.933225806451674,32.80677419354845,31.873870967741937,33.25064516129038,32.55322580645162
3766,farmland,living,living,living,living,farmland,living,living,living,living,32.39000000000004,33.22000000000003,33.35000000000002,33.31000000000006,32.710000000000036
3767,living,green_space,living,living,living,living,green_space,living,living,living,29.970000000000027,30.019999999999982,31.470000000000027,31.250000000000057,31.120000000000005
3768,green_space,green_space,green_space,production,living,green_space,green_space,green_space,production,living,32.81800000000004,32.394000000000005,31.71199999999999,32.54200000000003,32.51400000000007
3769,water,water,water,water,water,water,water,water,water,water,,,,,
3770,farmland,farmland,farmland,production,production,farmland,farmland,farmland,production,production,33.26034482758621,34.63379310344834,35.042413793103435,35.527931034482776,39.20275862068968
3771,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,30.610000000000014,30.57000000000005,31.06000000000006,31.090000000000032,31.79000000000002
3772,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,29.206129032258104,29.03000000000003,28.003548387096828,29.169354838709694,28.483548387096846
3773,farmland,green_space,green_space,production,living,farmland,green_space,green_space,production,living,32.03000000000003,32.73000000000002,35.5,35.30000000000001,37.13000000000005
3774,green_space,water,living,production,production,green_space,water,living,production,production,32.56000000000006,33.66000000000008,35.43000000000001,35.01000000000005,34.360000000000014
3775,farmland,living,living,living,living,farmland,living,living,living,living,34.86130434782609,36.0447826086957,39.299130434782626,36.89521739130436,37.54173913043485
3776,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,29.775000000000034,29.99500000000006,30.379999999999995,29.57000000000005,30.090000000000032
3777,green_space,green_space,green_space,green_space,living,green_space,green_space,green_space,green_space,living,28.52000000000004,30.730000000000018,30.350000000000023,30.720000000000027,30.470000000000027
3778,green_space,water,green_space,water,green_space,green_space,water,green_space,water,green_space,33.77000000000004,35.78000000000003,34.09000000000003,35.370000000000005,33.450000000000045
3779,living,production,living,production,living,living,production,living,production,living,34.900000000000034,34.88000000000005,36.0,35.77000000000004,37.03000000000003
3780,green_space,green_space,farmland,green_space,green_space,green_space,green_space,farmland,green_space,green_space,29.656666666666695,31.98333333333335,33.96333333333337,33.950000000000045,33.62333333333339
3781,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,28.05000000000001,28.640000000000043,28.27000000000004,28.79000000000002,29.410000000000025
3782,water,water,water,water,water,water,water,water,water,water,28.425999999999988,29.50933333333336,29.200666666666677,29.316666666666663,29.650666666666666
3783,water,water,water,water,,water,water,water,water,,,,,,
3784,green_space,farmland,farmland,production,production,green_space,farmland,farmland,production,production,30.176666666666733,30.148666666666713,30.58133333333342,30.85533333333342,31.100666666666655
3785,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,30.569999999999993,31.904545454545485,32.56454545454545,32.673636363636376,32.079090909090894
3786,green_space,production,production,production,production,green_space,production,production,production,production,32.860000000000014,35.23000000000002,36.110000000000014,37.01000000000005,36.73000000000002
3787,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,29.850000000000023,31.630000000000052,31.410000000000025,30.75,30.399999999999977
3788,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,27.25,27.470000000000027,27.250000000000057,28.350000000000023,27.810000000000002
3789,water,water,water,water,water,water,water,water,water,water,,,,,
3790,living,living,living,living,living,living,living,living,living,living,32.950000000000045,33.610000000000014,35.950000000000045,35.22000000000003,38.0
3791,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,32.478000000000065,32.12880000000007,32.31120000000004,32.11719999999997,31.726000000000056
3792,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,green_space,30.61827586206897,30.882413793103467,30.92448275862074,31.91896551724136,30.89137931034486
3793,water,water,water,water,water,water,water,water,water,water,,,,,
