grid_id,LST_mean,LST_stdDev,LST_min,LST_max,LST_median
7217,304.96000000000004,0.0,304.96000000000004,304.96000000000004,304.96000000000004
7218,300.67,0.0,300.67,300.67,300.67
7219,302.485806451613,0.540000000024016,301.58000000000004,302.66,302.66
7223,300.4213333333333,0.18500000002793968,300.15,300.52,300.52
7226,304.84000000000003,0.0,304.84000000000003,304.84000000000003,304.84000000000003
7236,,,,,
7241,302.61,0.0,302.61,302.61,302.61
7243,302.9290322580645,0.02000000011117663,302.91999999999996,302.96000000000004,302.91999999999996
7244,,,,,
7246,304.38,0.0,304.38,304.38,304.38
7247,304.14,0.0,304.14,304.14,304.14
7249,302.88,0.0,302.88,302.88,302.88
7250,308.21000000000004,0.452941006696131,307.41,308.49,308.49
7252,305.69103448275865,1.05101009616032,304.8,307.18,304.8
7254,302.53999999999996,0.0,302.53999999999996,302.53999999999996,302.53999999999996
7256,301.7458620689655,0.18500000002793968,301.58,301.95,301.58
7257,302.3,0.0,302.3,302.3,302.3
7258,310.5710714285714,0.9649999999963688,308.71000000000004,310.64,310.64
7260,303.1516666666667,0.5350233639529706,302.58,303.93,303.08000000000004
7261,,,,,
7264,302.43,0.0,302.43,302.43,302.43
7265,302.38899999999995,0.5649999999864834,302.04999999999995,303.18,302.04999999999995
7267,304.075,0.5250000000088697,303.54999999999995,304.6,304.075
7268,301.48400000000004,0.309999999992264,301.36,301.98,301.36
7269,,,,,
7270,301.04,0.0,301.04,301.04,301.04
7276,303.10275862068966,0.31000000001573486,303.06,303.68,303.06
7277,301.47,0.0,301.47,301.47,301.47
7279,301.5,0.0,301.5,301.5,301.5
7280,300.35,0.0,300.35,300.35,300.35
7285,302.2944827586207,0.23999999996987753,301.98,302.46,302.46
7287,302.3140909090909,0.5850000000002786,301.41,302.58,302.58
7288,302.08,0.0,302.08,302.08,302.08
7289,305.88,1.6038079685487636,303.48,307.88,306.06
7291,305.03999999999996,0.6200000000079988,304.0,305.24,305.24
7293,303.61,0.0,303.61,303.61,303.61
7294,300.34000000000003,0.0,300.34000000000003,300.34000000000003,300.34000000000003
7296,302.952,0.432059023733932,302.6,303.74,302.8
7299,303.4173333333333,0.2906888370701669,303.14,303.96,303.14
7302,302.42,0.0,302.42,302.42,302.42
7303,302.179090909091,0.3700000000362146,301.53999999999996,302.28000000000003,302.28000000000003
7305,302.72,0.0,302.72,302.72,302.72
7306,307.18545454545455,2.120000000002477,304.68,308.92,308.92
7307,,,,,
7308,304.98,0.0,304.98,304.98,304.98
7310,302.418,0.5199999999802094,301.69,302.73,302.73
7312,302.268,0.47979162142629483,301.64,302.94,302.15999999999997
7314,309.28000000000003,0.0,309.28000000000003,309.28000000000003,309.28000000000003
7315,,,,,
7317,309.47344827586215,0.2614383292228242,309.14,309.81000000000006,309.6
7318,303.11,0.0,303.11,303.11,303.11
7319,306.77333333333337,0.5,306.04,307.04,307.04
